open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source
2021-01-01 00:00:00,736.42,739.0,729.33,734.07,27932.69884,2021-01-01 00:59:59.999,20479903.4760359,22671.0,15020.61663,11015918.9722147,binance
2021-01-01 01:00:00,734.08,749.0,733.37,748.28,52336.18779,2021-01-01 01:59:59.999,38899618.8530135,41712.0,27395.9027,20362373.9335029,binance
2021-01-01 02:00:00,748.27,749.0,742.27,744.06,33019.501000000004,2021-01-01 02:59:59.999,24606726.4383672,19566.0,17721.26696,13207123.3520841,binance
2021-01-01 03:00:00,744.06,747.23,743.1,744.82,17604.80859,2021-01-01 03:59:59.999,13119088.4004137,12230.0,9499.7492,7079926.3108748,binance
2021-01-01 04:00:00,744.87,747.09,739.3,742.29,18794.15424,2021-01-01 04:59:59.999,13980190.9714686,13626.0,10133.74211,7539500.2868721,binance
2021-01-01 05:00:00,742.34,743.23,739.5,740.65,14948.26447,2021-01-01 05:59:59.999,11079350.2390266,11032.0,7733.14162,5731472.4157925,binance
2021-01-01 06:00:00,740.72,743.25,737.04,739.97,17106.99495,2021-01-01 06:59:59.999,12658465.3899019,12041.0,7803.15217,5774894.281794,binance
2021-01-01 07:00:00,739.87,740.51,734.4,737.38,21624.68945,2021-01-01 07:59:59.999,15934710.9369215,19976.0,10407.77312,7670628.2297335,binance
2021-01-01 08:00:00,737.37,738.48,725.1,730.07,52992.04892,2021-01-01 08:59:59.999,38713139.8352475,38433.0,23184.47715,16937333.0679656,binance
2021-01-01 09:00:00,730.07,734.77,728.77,733.68,22836.46973,2021-01-01 09:59:59.999,16732025.0257024,27347.0,12351.59569,9050056.5984665,binance
2021-01-01 10:00:00,733.69,738.87,733.27,736.81,22895.59711,2021-01-01 10:59:59.999,16854648.5651741,15317.0,12317.088749999999,9067175.1701353,binance
2021-01-01 11:00:00,736.82,741.76,736.11,738.85,29384.09871,2021-01-01 11:59:59.999,21714429.1119129,16820.0,14290.33498,10562649.866081,binance
2021-01-01 12:00:00,738.85,743.33,732.12,733.19,50190.47228,2021-01-01 12:59:59.999,37052817.5043096,28991.0,26605.75907,19648257.0722184,binance
2021-01-01 13:00:00,733.19,741.99,733.0,740.08,23543.56362,2021-01-01 13:59:59.999,17364322.3754941,17334.0,13975.81456,10307816.1509774,binance
2021-01-01 14:00:00,740.08,742.67,736.46,738.0,22098.37395,2021-01-01 14:59:59.999,16337048.3578516,17075.0,12812.55607,9473455.775750801,binance
2021-01-01 15:00:00,738.01,740.0,733.5,735.39,25671.61199,2021-01-01 15:59:59.999,18909549.3415675,20847.0,12484.28998,9199052.1961992,binance
2021-01-01 16:00:00,735.39,737.73,733.01,735.83,22249.34205,2021-01-01 16:59:59.999,16368621.7550852,15461.0,12220.1753,8990872.705043,binance
2021-01-01 17:00:00,735.76,736.45,726.57,727.94,40914.26505,2021-01-01 17:59:59.999,29902944.3557101,24734.0,17435.35692,12744050.3657862,binance
2021-01-01 18:00:00,727.94,731.8,714.29,724.6,66427.75355,2021-01-01 18:59:59.999,48068143.6005898,41949.0,28442.33941,20584419.0482298,binance
2021-01-01 19:00:00,724.57,728.28,720.95,725.34,26866.35862,2021-01-01 19:59:59.999,19458522.3046609,18323.0,13879.19268,10055377.2623967,binance
